RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
1,"R46336","5/8/2020","COVID-19: Potential Implications for International Security Environment-Overview of Issues and Further Reading for Congress","https://crsreports.congress.gov/product/pdf/download/R/R46336/R46336.pdf/","3","04/30/2020"
2,"IF11542","5/8/2020","The Army's AimPoint Force Structure Initiative","https://crsreports.congress.gov/product/pdf/download/IF/IF11542/IF11542.pdf/","1","05/08/2020"
3,"RS20643","5/7/2020","Navy Ford (CVN-78) Class Aircraft Carrier Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RS/RS20643/RS20643.pdf/","227","01/03/2005"
4,"IF11069","5/7/2020","U.S.-Proposed Missile Technology Control Regime Changes","https://crsreports.congress.gov/product/pdf/download/IF/IF11069/IF11069.pdf/","4","01/11/2019"
5,"IF11537","5/6/2020","Intelligence Community Support to Pandemic Preparedness and Response","https://crsreports.congress.gov/product/pdf/download/IF/IF11537/IF11537.pdf/","2","05/06/2020"
6,"RL32665","5/6/2020","Navy Force Structure and Shipbuilding Plans: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL32665/RL32665.pdf/","299","02/16/2005"
7,"R43543","5/6/2020","Navy LPD-17 Flight II and LHA Amphibious Ship Programs: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43543/R43543.pdf/","74","05/13/2014"
8,"R42567","5/5/2020","Coast Guard Cutter Procurement: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R42567/R42567.pdf/","119","06/14/2012"
9,"R44972","5/4/2020","Navy Frigate (FFG[X]) Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44972/R44972.pdf/","56","09/28/2017"
10,"RL32572","5/4/2020","Nonstrategic Nuclear Weapons","https://crsreports.congress.gov/product/pdf/download/RL/RL32572/RL32572.pdf/","40","01/19/2005"
11,"LSB10456","5/1/2020","Executive Order on the Food Supply Chain and the Defense Production Act: FAQs","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10456/LSB10456.pdf/","1","05/01/2020"
12,"R41129","5/1/2020","Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R41129/R41129.pdf/","179","03/22/2010"
13,"R43838","5/1/2020","Renewed Great Power Competition: Implications for Defense-Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43838/R43838.pdf/","58","12/31/2014"
14,"R44452","5/1/2020","The Selective Service System and Draft Registration: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44452/R44452.pdf/","13","04/11/2016"
15,"R42784","5/1/2020","U.S.-China Strategic Competition in South and East China Seas: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R42784/R42784.pdf/","105","10/24/2012"
16,"IF11525","4/30/2020","COVID-19: National Security and Defense Strategy","https://crsreports.congress.gov/product/pdf/download/IF/IF11525/IF11525.pdf/","1","04/30/2020"
17,"R46337","4/30/2020","Transfer of Defense Articles: Sale and Export of U.S.-Made Arms to Foreign Entities","https://crsreports.congress.gov/product/pdf/download/R/R46337/R46337.pdf/","2","04/30/2020"
18,"IF11367","4/29/2020","Army Future Vertical Lift (FVL) Program","https://crsreports.congress.gov/product/pdf/download/IF/IF11367/IF11367.pdf/","4","11/20/2019"
19,"IF10553","4/29/2020","Defense Primer: RDT&E","https://crsreports.congress.gov/product/pdf/download/IF/IF10553/IF10553.pdf/","11","12/15/2016"
20,"RL30563","4/29/2020","F-35 Joint Strike Fighter (JSF) Program","https://crsreports.congress.gov/product/pdf/download/RL/RL30563/RL30563.pdf/","72","01/18/2005"
21,"IF11521","4/28/2020","Air Force F-15EX Fighter Program","https://crsreports.congress.gov/product/pdf/download/IF/IF11521/IF11521.pdf/","2","04/28/2020"
22,"R41153","4/28/2020","Changes in the Arctic: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R41153/R41153.pdf/","162","04/01/2010"
23,"RL33640","4/27/2020","U.S. Strategic Nuclear Forces: Background, Developments, and Issues","https://crsreports.congress.gov/product/pdf/download/RL/RL33640/RL33640.pdf/","63","09/13/2006"
24,"RL33153","4/24/2020","China Naval Modernization: Implications for U.S. Navy Capabilities-Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL33153/RL33153.pdf/","234","11/18/2005"
25,"RL34398","4/21/2020","Air Force KC-46A Pegasus Tanker Aircraft Program","https://crsreports.congress.gov/product/pdf/download/RL/RL34398/RL34398.pdf/","48","02/29/2008"
26,"IF11510","4/17/2020","Defense Primer: Department of Defense Civilian Employees","https://crsreports.congress.gov/product/pdf/download/IF/IF11510/IF11510.pdf/","2","04/17/2020"
27,"R40094","4/17/2020","Iran's Nuclear Program: Tehran's Compliance with International Obligations","https://crsreports.congress.gov/product/pdf/download/R/R40094/R40094.pdf/","101","01/02/2009"
28,"R45519","4/16/2020","The Army's Optionally Manned Fighting Vehicle (OMFV) Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45519/R45519.pdf/","11","02/22/2019"
29,"R45756","4/16/2020","U.S. Military Electronic Warfare Program Funding: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45756/R45756.pdf/","3","06/06/2019"
30,"R45996","4/15/2020","Precision-Guided Munitions: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45996/R45996.pdf/","6","11/06/2019"
31,"IN11310","4/15/2020","The National Cemetery Administration and Department of Defense Response to COVID-19 Regarding Funerals and Military Honors","https://crsreports.congress.gov/product/pdf/download/IN/IN11310/IN11310.pdf/","3","04/03/2020"
32,"RS22478","4/14/2020","Navy Ship Names: Background for Congress","https://crsreports.congress.gov/product/pdf/download/RS/RS22478/RS22478.pdf/","184","07/21/2006"
33,"IN11193","4/10/2020","Funding U.S.-Mexico Border Barrier Construction: Current Issues","https://crsreports.congress.gov/product/pdf/download/IN/IN11193/IN11193.pdf/","3","11/05/2019"
34,"IF10487","4/9/2020","Turkey-U.S. Relations: Timeline and Brief Historical Context","https://crsreports.congress.gov/product/pdf/download/IF/IF10487/IF10487.pdf/","5","10/14/2016"
35,"IF11426","4/7/2020","Department of Defense Counter-Unmanned Aircraft Systems","https://crsreports.congress.gov/product/pdf/download/IF/IF11426/IF11426.pdf/","3","02/13/2020"
36,"IF11493","4/6/2020","Defense Capabilities: Joint All Domain Command and Control","https://crsreports.congress.gov/product/pdf/download/IF/IF11493/IF11493.pdf/","1","04/06/2020"
37,"IF11495","4/6/2020","Defense Primer: The United States Space Force","https://crsreports.congress.gov/product/pdf/download/IF/IF11495/IF11495.pdf/","1","04/07/2020"
38,"R44442","4/6/2020","Energy and Water Development Appropriations: Nuclear Weapons Activities","https://crsreports.congress.gov/product/pdf/download/R/R44442/R44442.pdf/","21","04/01/2016"
39,"IN11273","4/3/2020","COVID-19: The Basics of Domestic Defense Response","https://crsreports.congress.gov/product/pdf/download/IN/IN11273/IN11273.pdf/","5","03/24/2020"
40,"IN11305","4/2/2020","COVID-19: Defense Support of Civil Authorities ","https://crsreports.congress.gov/product/pdf/download/IN/IN11305/IN11305.pdf/","2","04/02/2020"
41,"R44175","4/2/2020","Navy Lasers, Railgun, and Gun-Launched Guided Projectile: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44175/R44175.pdf/","54","09/02/2015"
42,"R41219","4/2/2020","The New START Treaty: Central Limits and Key Provisions","https://crsreports.congress.gov/product/pdf/download/R/R41219/R41219.pdf/","63","05/04/2010"
43,"IF11483","4/1/2020","The National Guard in the COVID-19 Pandemic Response: Framework for Action","https://crsreports.congress.gov/product/pdf/download/IF/IF11483/IF11483.pdf/","2","04/01/2020"
44,"IF11479","3/31/2020","Defense Primer: United States Transportation Command","https://crsreports.congress.gov/product/pdf/download/IF/IF11479/IF11479.pdf/","3","03/31/2020"
45,"RL33745","3/31/2020","Navy Aegis Ballistic Missile Defense (BMD) Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL33745/RL33745.pdf/","204","12/07/2006"
46,"IF11480","3/31/2020","Overview: The Department of Defense and COVID-19 ","https://crsreports.congress.gov/product/pdf/download/IF/IF11480/IF11480.pdf/","1","03/31/2020"
47,"IN11288","3/30/2020","COVID-19 and the Defense Industrial Base: DOD Response and Legislative Considerations","https://crsreports.congress.gov/product/pdf/download/IN/IN11288/IN11288.pdf/","3","03/27/2020"
48,"R45757","3/30/2020","Navy Large Unmanned Surface and Undersea Vehicles: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45757/R45757.pdf/","15","06/07/2019"
49,"IF11251","3/27/2020","National Security Implications of Fifth Generation (5G) Mobile Technologies ","https://crsreports.congress.gov/product/pdf/download/IF/IF11251/IF11251.pdf/","8","06/12/2019"
50,"RL33865","3/26/2020","Arms Control and Nonproliferation: A Catalog of Treaties and Agreements","https://crsreports.congress.gov/product/pdf/download/RL/RL33865/RL33865.pdf/","51","02/07/2007"
51,"IN11281","3/26/2020","New U.S. Marine Corps Force Design Initiatives ","https://crsreports.congress.gov/product/pdf/download/IN/IN11281/IN11281.pdf/","2","03/26/2020"
52,"IN11276","3/25/2020","Comparison of the FY2020 and FY2021 Precision-Guided Munitions Procurement Requests","https://crsreports.congress.gov/product/pdf/download/IN/IN11276/IN11276.pdf/","2","03/25/2020"
53,"R40589","3/25/2020","Concurrent Receipt of Military Retired Pay and Veteran Disability: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R40589/R40589.pdf/","20","05/21/2009"
54,"IN11280","3/25/2020","COVID-19: Industrial Mobilization and Defense Production Act (DPA) Implementation","https://crsreports.congress.gov/product/pdf/download/IN/IN11280/IN11280.pdf/","2","03/25/2020"
55,"IN11274","3/24/2020","FY2020 Defense Reprogrammings for Wall Funding: Backgrounder","https://crsreports.congress.gov/product/pdf/download/IN/IN11274/IN11274.pdf/","2","03/24/2020"
56,"RL34391","3/22/2020","Coast Guard Polar Security Cutter (Polar Icebreaker) Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL34391/RL34391.pdf/","195","02/26/2008"
57,"RL32109","3/22/2020","Navy DDG-51 and DDG-1000 Destroyer Programs: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL32109/RL32109.pdf/","230","01/25/2005"
58,"R43546","3/22/2020","Navy John Lewis (TAO-205) Class Oiler Shipbuilding Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43546/R43546.pdf/","73","05/14/2014"
59,"RL32418","3/22/2020","Navy Virginia (SSN-774) Class Attack Submarine Procurement: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL32418/RL32418.pdf/","188","01/18/2005"
60,"IF11469","3/20/2020","The Cyberspace Solarium Commission: Illuminating Options for Layered Deterrence","https://crsreports.congress.gov/product/pdf/download/IF/IF11469/IF11469.pdf/","2","03/20/2020"
61,"IF11466","3/19/2020","Defense Primer: Department of Defense Maintenance Depots","https://crsreports.congress.gov/product/pdf/download/IF/IF11466/IF11466.pdf/","2","03/19/2020"
62,"IN11231","3/18/2020","The Defense Production Act (DPA) and COVID-19: Key Authorities and Policy Considerations","https://crsreports.congress.gov/product/pdf/download/IN/IN11231/IN11231.pdf/","3","03/06/2020"
63,"R46274","3/18/2020","The Palestinians and Amendments to the Anti-Terrorism Act: U.S. Aid and Personal Jurisdiction","https://crsreports.congress.gov/product/pdf/download/R/R46274/R46274.pdf/","2","03/18/2020"
64,"IF10484","3/17/2020","Defense Primer: Department of the Navy","https://crsreports.congress.gov/product/pdf/download/IF/IF10484/IF10484.pdf/","12","10/14/2016"
65,"IF10485","3/17/2020","Defense Primer: Geography, Strategy, and U.S. Force Design","https://crsreports.congress.gov/product/pdf/download/IF/IF10485/IF10485.pdf/","10","10/14/2016"
66,"IF10486","3/17/2020","Defense Primer: Naval Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10486/IF10486.pdf/","13","10/14/2016"
67,"R45811","3/17/2020","Hypersonic Weapons: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45811/R45811.pdf/","8","07/11/2019"
68,"R41909","3/17/2020","Multiyear Procurement (MYP) and Block Buy Contracting in Defense Acquisition: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R41909/R41909.pdf/","88","07/11/2011"
69,"IF11464","3/17/2020","United States Southern Command (SOUTHCOM)","https://crsreports.congress.gov/product/pdf/download/IF/IF11464/IF11464.pdf/","1","03/17/2020"
70,"IF11458","3/12/2020","Military Health System Reform: Military Treatment Facilities","https://crsreports.congress.gov/product/pdf/download/IF/IF11458/IF11458.pdf/","1","03/13/2020"
71,"R44413","3/11/2020","Energy and Water Development Appropriations for Defense Nuclear Nonproliferation: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R44413/R44413.pdf/","10","03/11/2016"
72,"RS21048","3/11/2020","U.S. Special Operations Forces (SOF): Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RS/RS21048/RS21048.pdf/","64","02/09/2005"
73,"IF10550","3/5/2020","Defense Primer: The Military Departments","https://crsreports.congress.gov/product/pdf/download/IF/IF10550/IF10550.pdf/","7","12/14/2016"
74,"R42747","3/4/2020","Health Care for Veterans: Answers to Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R42747/R42747.pdf/","28","09/21/2012"
75,"RS22937","3/4/2020","Nuclear Cooperation with Other Countries: A Primer","https://crsreports.congress.gov/product/pdf/download/RS/RS22937/RS22937.pdf/","73","08/12/2008"
76,"RL31675","3/3/2020","Arms Sales: Congressional Review Process","https://crsreports.congress.gov/product/pdf/download/RL/RL31675/RL31675.pdf/","39","12/20/2002"
77,"98-756","3/3/2020","Defense Authorization and Appropriations Bills: FY1961-FY2020","https://crsreports.congress.gov/product/pdf/download/RL/98-756/98-756.pdf/","52","12/14/2004"
78,"IF11442","3/2/2020","FY2021 Budget Request for the Military Health System","https://crsreports.congress.gov/product/pdf/download/IF/IF11442/IF11442.pdf/","3","03/02/2020"
79,"R43767","3/2/2020","The Defense Production Act of 1950: History, Authorities, and Considerations for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43767/R43767.pdf/","9","10/24/2014"
80,"IF11441","3/2/2020","Transfer of Defense Articles: Direct Commercial Sales (DCS)","https://crsreports.congress.gov/product/pdf/download/IF/IF11441/IF11441.pdf/","3","03/02/2020"
81,"IF11440","2/28/2020","New U.S. Antipersonnel Landmine Use Policy","https://crsreports.congress.gov/product/pdf/download/IF/IF11440/IF11440.pdf/","1","02/28/2020"
82,"R46107","2/25/2020","FY2020 National Defense Authorization Act: Selected Military Personnel Issues","https://crsreports.congress.gov/product/pdf/download/R/R46107/R46107.pdf/","5","12/09/2019"
83,"IF11437","2/21/2020","Transfer of Defense Articles: Foreign Military Sales (FMS)","https://crsreports.congress.gov/product/pdf/download/IF/IF11437/IF11437.pdf/","1","02/21/2020"
84,"R42723","2/20/2020","Marine Corps Amphibious Combat Vehicle (ACV): Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R42723/R42723.pdf/","48","09/12/2012"
85,"R43240","2/19/2020","The Army's Armored Multi-Purpose Vehicle (AMPV): Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43240/R43240.pdf/","32","09/24/2013"
86,"IF10542","2/18/2020","Defense Primer: Commanding U.S. Military Operations","https://crsreports.congress.gov/product/pdf/download/IF/IF10542/IF10542.pdf/","8","12/13/2016"
87,"RS22942","2/18/2020","Joint Light Tactical Vehicle (JLTV): Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RS/RS22942/RS22942.pdf/","60","08/28/2008"
88,"R41464","2/14/2020","Conventional Prompt Global Strike and Long-Range Ballistic Missiles: Background and Issues","https://crsreports.congress.gov/product/pdf/download/R/R41464/R41464.pdf/","49","10/27/2010"
89,"IF11243","2/14/2020","Defense Primer: DOD Transfer and Reprogramming Authorities","https://crsreports.congress.gov/product/pdf/download/IF/IF11243/IF11243.pdf/","3","06/07/2019"
90,"IN11221","2/13/2020","Management of Mild Traumatic Brain Injury (mTBI) in the Military","https://crsreports.congress.gov/product/pdf/download/IN/IN11221/IN11221.pdf/","2","02/13/2020"
91,"IF11428","2/13/2020","United States Central Command","https://crsreports.congress.gov/product/pdf/download/IF/IF11428/IF11428.pdf/","1","02/13/2020"
92,"IF10599","2/7/2020","Defense Primer: Procurement","https://crsreports.congress.gov/product/pdf/download/IF/IF10599/IF10599.pdf/","5","02/10/2017"
93,"R46216","2/7/2020","The Army's Modernization Strategy: Congressional Oversight Considerations","https://crsreports.congress.gov/product/pdf/download/R/R46216/R46216.pdf/","4","02/07/2020"
94,"IF10548","2/6/2020","Defense Primer: U.S. Defense Industrial Base","https://crsreports.congress.gov/product/pdf/download/IF/IF10548/IF10548.pdf/","8","12/14/2016"
95,"IF10834","2/4/2020","Defense Primer: Under Secretary of Defense for Research and Engineering","https://crsreports.congress.gov/product/pdf/download/IF/IF10834/IF10834.pdf/","7","02/22/2018"
96,"R44384","2/3/2020","IAEA Budget and U.S. Contributions: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R44384/R44384.pdf/","5","02/18/2016"
97,"R46211","2/3/2020","National Security Space Launch","https://crsreports.congress.gov/product/pdf/download/R/R46211/R46211.pdf/","2","02/04/2020"
98,"R45306","2/3/2020","The U.S. Nuclear Weapons Complex: Overview of Department of Energy Sites","https://crsreports.congress.gov/product/pdf/download/R/R45306/R45306.pdf/","4","09/06/2018"
99,"IF10600","1/31/2020","Defense Primer: Department of Defense Contractors","https://crsreports.congress.gov/product/pdf/download/IF/IF10600/IF10600.pdf/","7","02/10/2017"
100,"IF11226","1/30/2020","Defense Primer: Acquiring Specialty Metals, Rare Earth Magnets, and Tungsten","https://crsreports.congress.gov/product/pdf/download/IF/IF11226/IF11226.pdf/","3","05/24/2019"
101,"IF10574","1/29/2020","Defense Primer: Intelligence Support to Military Operations","https://crsreports.congress.gov/product/pdf/download/IF/IF10574/IF10574.pdf/","8","12/30/2016"
102,"IF10516","1/29/2020","Defense Primer: Navigating the NDAA","https://crsreports.congress.gov/product/pdf/download/IF/IF10516/IF10516.pdf/","7","11/28/2016"
103,"IF10609","1/29/2020","Defense Primer: The Berry and Kissell Amendments","https://crsreports.congress.gov/product/pdf/download/IF/IF10609/IF10609.pdf/","7","03/01/2017"
104,"IF10523","1/29/2020","Defense Primer: Under Secretary of Defense for Intelligence and Security","https://crsreports.congress.gov/product/pdf/download/IF/IF10523/IF10523.pdf/","11","12/05/2016"
105,"R41916","1/28/2020","The U.S. Export Control System and the Export Control Reform Initiative","https://crsreports.congress.gov/product/pdf/download/R/R41916/R41916.pdf/","55","07/14/2011"
106,"IF10337","1/27/2020","Challenges to the United States in Space","https://crsreports.congress.gov/product/pdf/download/IF/IF10337/IF10337.pdf/","4","12/11/2015"
107,"IF10429","1/27/2020","Defense Primer: Planning, Programming, Budgeting and Execution (PPBE) Process","https://crsreports.congress.gov/product/pdf/download/IF/IF10429/IF10429.pdf/","8","06/28/2016"
108,"IF10524","1/24/2020","Defense Primer: Budgeting for National and Defense Intelligence","https://crsreports.congress.gov/product/pdf/download/IF/IF10524/IF10524.pdf/","9","12/05/2016"
109,"IF10525","1/24/2020","Defense Primer: National and Defense Intelligence","https://crsreports.congress.gov/product/pdf/download/IF/IF10525/IF10525.pdf/","9","12/05/2016"
110,"IF10543","1/24/2020","Defense Primer: The Department of Defense","https://crsreports.congress.gov/product/pdf/download/IF/IF10543/IF10543.pdf/","5","12/13/2016"
111,"IF10547","1/21/2020","Defense Primer: The United States Air Force","https://crsreports.congress.gov/product/pdf/download/IF/IF10547/IF10547.pdf/","4","12/13/2016"
112,"IF10546","1/21/2020","Defense Primer: United States Airpower","https://crsreports.congress.gov/product/pdf/download/IF/IF10546/IF10546.pdf/","6","12/13/2016"
113,"IF11147","1/16/2020","Defense Primer: Active Duty Enlisted Recruiting ","https://crsreports.congress.gov/product/pdf/download/IF/IF11147/IF11147.pdf/","3","03/25/2019"
114,"IF11274","1/16/2020","Defense Primer: Active Duty Enlisted Retention ","https://crsreports.congress.gov/product/pdf/download/IF/IF11274/IF11274.pdf/","3","07/26/2019"
115,"IF11386","1/16/2020","Department of Defense Global Health Engagement","https://crsreports.congress.gov/product/pdf/download/IF/IF11386/IF11386.pdf/","4","12/13/2019"
116,"IN11210","1/16/2020","Possible Use of FY2020 Defense Funds for Border Barrier Construction: Context and Questions","https://crsreports.congress.gov/product/pdf/download/IN/IN11210/IN11210.pdf/","2","01/17/2020"
117,"IN11112","1/15/2020","The Kiddie Tax and Military Survivors' Benefits","https://crsreports.congress.gov/product/pdf/download/IN/IN11112/IN11112.pdf/","8","05/03/2019"
118,"IF11407","1/14/2020","Defender Europe 20 Military Exercise, Historical (REFORGER) Exercises, and U.S. Force Posture in Europe","https://crsreports.congress.gov/product/pdf/download/IF/IF11407/IF11407.pdf/","2","01/14/2020"
119,"IF10771","1/14/2020","Defense Primer: Information Operations","https://crsreports.congress.gov/product/pdf/download/IF/IF10771/IF10771.pdf/","6","11/08/2017"
120,"IF11406","1/13/2020","Iranian Offensive Cyberattack Capabilities","https://crsreports.congress.gov/product/pdf/download/IF/IF11406/IF11406.pdf/","2","01/13/2020"
121,"IF11143","1/10/2020","A Low-Yield, Submarine-Launched Nuclear Warhead: Overview of the Expert Debate","https://crsreports.congress.gov/product/pdf/download/IF/IF11143/IF11143.pdf/","3","03/21/2019"
122,"IF10349","1/10/2020","Congressionally Directed Medical Research Programs Funding for FY2020","https://crsreports.congress.gov/product/pdf/download/IF/IF10349/IF10349.pdf/","8","02/02/2016"
123,"IF10521","1/10/2020","Defense Primer: Command and Control of Nuclear Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10521/IF10521.pdf/","5","12/01/2016"
124,"IF10519","1/10/2020","Defense Primer: Strategic Nuclear Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10519/IF10519.pdf/","6","11/29/2016"
125,"IF11403","1/9/2020","The 2019-2020 Iran Crisis and U.S. Military Deployments ","https://crsreports.congress.gov/product/pdf/download/IF/IF11403/IF11403.pdf/","4","01/08/2020"
126,"IF10515","1/8/2020","Defense Primer: The NDAA Process","https://crsreports.congress.gov/product/pdf/download/IF/IF10515/IF10515.pdf/","11","11/28/2016"
127,"IF11401","1/8/2020","FY2020 Military Construction Appropriations: An Overview of P.L. 116-94 (Division F) ","https://crsreports.congress.gov/product/pdf/download/IF/IF11401/IF11401.pdf/","3","01/08/2020"
128,"IF10260","1/6/2020","Defense Primer: Military Pay Raise","https://crsreports.congress.gov/product/pdf/download/IF/IF10260/IF10260.pdf/","18","07/17/2015"
129,"IF10540","1/6/2020","Defense Primer: Reserve Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10540/IF10540.pdf/","7","12/09/2016"
130,"IF10544","1/2/2020","Defense Primer: Department of the Army and Army Command Structure","https://crsreports.congress.gov/product/pdf/download/IF/IF10544/IF10544.pdf/","6","12/13/2016"
131,"IF10571","1/2/2020","Defense Primer: Organization of U.S. Ground Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10571/IF10571.pdf/","4","12/29/2016"
132,"IF10545","1/2/2020","Defense Primer: Special Operations Forces","https://crsreports.congress.gov/product/pdf/download/IF/IF10545/IF10545.pdf/","7","12/13/2016"
133,"R46144","1/2/2020","FY2020 National Defense Authorization Act: P.L. 116-92 (H.R. 2500, S. 1790)","https://crsreports.congress.gov/product/pdf/download/R/R46144/R46144.pdf/","4","01/02/2020"
134,"R45861","1/2/2020","Russia's Nuclear Weapons: Doctrine, Forces, and Modernization","https://crsreports.congress.gov/product/pdf/download/R/R45861/R45861.pdf/","4","08/07/2019"
135,"IF11051","1/2/2020","U.S. Withdrawal from the INF Treaty: What's Next?","https://crsreports.congress.gov/product/pdf/download/IF/IF11051/IF11051.pdf/","8","12/20/2018"
