RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
136,"IF10483","12/31/2019","Defense Primer: Military Retirement","https://crsreports.congress.gov/product/pdf/download/IF/IF10483/IF10483.pdf/","9","10/13/2016"
137,"IF11118","12/30/2019","Defense Primer: Electronic Warfare","https://crsreports.congress.gov/product/pdf/download/IF/IF11118/IF11118.pdf/","7","02/26/2019"
138,"IF10685","12/27/2019","Defense Primer: Military Officers","https://crsreports.congress.gov/product/pdf/download/IF/IF10685/IF10685.pdf/","8","07/03/2017"
139,"IF10684","12/26/2019","Defense Primer: Military Enlisted Personnel","https://crsreports.congress.gov/product/pdf/download/IF/IF10684/IF10684.pdf/","9","07/03/2017"
140,"IF10532","12/26/2019","Defense Primer: Regular Military Compensation","https://crsreports.congress.gov/product/pdf/download/IF/IF10532/IF10532.pdf/","6","12/07/2016"
141,"IF10514","12/23/2019","Defense Primer: Defense Appropriations Process","https://crsreports.congress.gov/product/pdf/download/IF/IF10514/IF10514.pdf/","8","11/23/2016"
142,"RL34544","12/20/2019","Iran's Nuclear Program: Status","https://crsreports.congress.gov/product/pdf/download/RL/RL34544/RL34544.pdf/","55","06/25/2008"
143,"IF11105","12/19/2019","Defense Primer: Emerging Technologies","https://crsreports.congress.gov/product/pdf/download/IF/IF11105/IF11105.pdf/","5","02/12/2019"
144,"IN11207","12/19/2019","Foreign Interference in NIH Research: Policy Implications","https://crsreports.congress.gov/product/pdf/download/IN/IN11207/IN11207.pdf/","2","12/19/2019"
145,"IF10530","12/18/2019","Defense Primer: Military Health System","https://crsreports.congress.gov/product/pdf/download/IF/IF10530/IF10530.pdf/","8","12/06/2016"
146,"RS22373","12/17/2019","Navy Irregular Warfare and Counterterrorism Operations: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RS/RS22373/RS22373.pdf/","126","02/06/2006"
147,"RL33741","12/17/2019","Navy Littoral Combat Ship (LCS) Program: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL33741/RL33741.pdf/","257","12/04/2006"
148,"TE10044","12/16/2019","U.S. Counterterrorism Priorities and Challenges in Africa","https://crsreports.congress.gov/product/pdf/download/TE/TE10044/TE10044.pdf/","1","12/17/2019"
149,"IF11385","12/12/2019","The Uniformed Services University of the Health Sciences ","https://crsreports.congress.gov/product/pdf/download/IF/IF11385/IF11385.pdf/","2","12/12/2019"
150,"R44710","11/26/2019","Military Construction: Authorities, Process, and Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R44710/R44710.pdf/","10","12/14/2016"
151,"R45178","11/21/2019","Artificial Intelligence and National Security","https://crsreports.congress.gov/product/pdf/download/R/R45178/R45178.pdf/","7","04/26/2018"
152,"IF10954","11/19/2019","Air Force OA-X Light Attack Aircraft Program","https://crsreports.congress.gov/product/pdf/download/IF/IF10954/IF10954.pdf/","3","08/23/2018"
153,"IF11362","11/14/2019","Defense Primer: Arlington National Cemetery","https://crsreports.congress.gov/product/pdf/download/IF/IF11362/IF11362.pdf/","2","11/14/2019"
154,"R44463","11/13/2019","Air Force B-21 Raider Long-Range Strike Bomber","https://crsreports.congress.gov/product/pdf/download/R/R44463/R44463.pdf/","9","04/14/2016"
155,"IF11264","11/13/2019","DOD's Cloud Strategy and the JEDI Cloud Procurement","https://crsreports.congress.gov/product/pdf/download/IF/IF11264/IF11264.pdf/","9","07/08/2019"
156,"IF11353","11/6/2019","Defense Primer: U.S. Precision-Guided Munitions","https://crsreports.congress.gov/product/pdf/download/IF/IF11353/IF11353.pdf/","3","11/06/2019"
157,"R45987","10/28/2019","MHS Genesis: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45987/R45987.pdf/","2","10/28/2019"
158,"IF11340","10/23/2019","FY2020 Defense Appropriations: Selected Issues Raised by H.R. 2740 (Div. C) and S. 2474","https://crsreports.congress.gov/product/pdf/download/IF/IF11340/IF11340.pdf/","2","10/23/2019"
159,"R45968","10/17/2019","Limits on TRICARE for Reservists: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R45968/R45968.pdf/","3","10/17/2019"
160,"IN10502","10/11/2019","The Open Skies Treaty: Background and Issues","https://crsreports.congress.gov/product/pdf/download/IN/IN10502/IN10502.pdf/","5","06/10/2016"
161,"IF11324","10/2/2019","Defense Primer: Defense Support of Civil Authorities","https://crsreports.congress.gov/product/pdf/download/IF/IF11324/IF11324.pdf/","3","10/02/2019"
162,"R44039","9/30/2019","The Defense Budget and the Budget Control Act: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R44039/R44039.pdf/","21","05/19/2015"
163,"R45937","9/27/2019","Military Funding for Southwest Border Barriers","https://crsreports.congress.gov/product/pdf/download/R/R45937/R45937.pdf/","3","09/30/2019"
164,"R45345","9/23/2019","Intelligence Community Whistleblower Protections","https://crsreports.congress.gov/product/pdf/download/R/R45345/R45345.pdf/","7","10/18/2018"
165,"R44856","9/18/2019","Air Force T-7A Red Hawk Trainer","https://crsreports.congress.gov/product/pdf/download/R/R44856/R44856.pdf/","17","05/31/2017"
166,"IF11309","9/13/2019","Department of Defense Outleasing and Enhanced Use Leases","https://crsreports.congress.gov/product/pdf/download/IF/IF11309/IF11309.pdf/","3","09/13/2019"
167,"R44519","9/6/2019","Overseas Contingency Operations Funding: Background and Status","https://crsreports.congress.gov/product/pdf/download/R/R44519/R44519.pdf/","12","06/13/2016"
168,"RS21405","8/27/2019","U.S. Periods of War and Dates of Recent Conflicts","https://crsreports.congress.gov/product/pdf/download/RS/RS21405/RS21405.pdf/","30","05/19/2005"
169,"IF11294","8/16/2019","International Discussions Concerning Lethal Autonomous Weapon Systems","https://crsreports.congress.gov/product/pdf/download/IF/IF11294/IF11294.pdf/","1","08/16/2019"
170,"R45870","8/15/2019","Defense Spending Under an Interim Continuing Resolution: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R45870/R45870.pdf/","2","08/15/2019"
171,"IF11292","8/13/2019","Convergence of Cyberspace Operations and Electronic Warfare","https://crsreports.congress.gov/product/pdf/download/IF/IF11292/IF11292.pdf/","2","08/13/2019"
172,"R45196","8/9/2019","Covert Action and Clandestine Activities of the Intelligence Community: Framework for Congressional Oversight In Brief","https://crsreports.congress.gov/product/pdf/download/R/R45196/R45196.pdf/","5","05/15/2018"
173,"R43832","8/2/2019","Russian Compliance with the Intermediate Range Nuclear Forces (INF) Treaty: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43832/R43832.pdf/","38","12/17/2014"
174,"R45847","8/2/2019","The Department of Defense's JEDI Cloud Program","https://crsreports.congress.gov/product/pdf/download/R/R45847/R45847.pdf/","5","08/01/2019"
175,"IF11275","7/26/2019","Military Installations and Sea-Level Rise","https://crsreports.congress.gov/product/pdf/download/IF/IF11275/IF11275.pdf/","3","07/26/2019"
176,"R45818","7/18/2019","Afghanistan: Background and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/R/R45818/R45818.pdf/","2","07/19/2019"
177,"RL34751","7/12/2019","Military Retirement: Background and Recent Developments","https://crsreports.congress.gov/product/pdf/download/RL/RL34751/RL34751.pdf/","36","11/20/2008"
178,"R44968","7/8/2019","Infantry Brigade Combat Team (IBCT) Mobility, Reconnaissance, and Firepower Programs","https://crsreports.congress.gov/product/pdf/download/R/R44968/R44968.pdf/","11","09/26/2017"
179,"R45191","7/2/2019","Covert Action and Clandestine Activities of the Intelligence Community: Selected Congressional Notification Requirements in Brief","https://crsreports.congress.gov/product/pdf/download/R/R45191/R45191.pdf/","7","05/07/2018"
180,"IF11258","6/26/2019","FY2020 National Defense Authorization Act (H.R. 2500, S. 1790)","https://crsreports.congress.gov/product/pdf/download/IF/IF11258/IF11258.pdf/","2","06/26/2019"
181,"R45175","6/14/2019","Covert Action and Clandestine Activities of the Intelligence Community: Selected Definitions in Brief","https://crsreports.congress.gov/product/pdf/download/R/R45175/R45175.pdf/","6","04/25/2018"
182,"IF11244","6/7/2019","FY2020 National Security Space Budget Request: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF11244/IF11244.pdf/","2","06/07/2019"
183,"IF10472","6/6/2019","North Korea's Nuclear and Ballistic Missile Programs","https://crsreports.congress.gov/product/pdf/download/IF/IF10472/IF10472.pdf/","16","09/19/2016"
184,"R44321","6/5/2019","Diversity, Inclusion, and Equal Opportunity in the Armed Services: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44321/R44321.pdf/","15","12/23/2015"
185,"IF11238","5/31/2019","HIV/AIDS in the Military","https://crsreports.congress.gov/product/pdf/download/IF/IF11238/IF11238.pdf/","2","06/03/2019"
186,"LSB10304","5/29/2019","Waiver of Congressional Notification Period in the Arms Export Control Act","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10304/LSB10304.pdf/","1","06/03/2019"
187,"IF11228","5/28/2019","Defense Primer: 75th Anniversary of D-Day, June 6, 1944","https://crsreports.congress.gov/product/pdf/download/IF/IF11228/IF11228.pdf/","2","05/28/2019"
188,"IF10899","5/20/2019","Recent Trends in Active-Duty Military Deaths","https://crsreports.congress.gov/product/pdf/download/IF/IF10899/IF10899.pdf/","4","06/01/2018"
189,"R43168","5/16/2019","Military Sexual Assault: Chronology of Activity in the 113th-114th Congresses and Related Resources","https://crsreports.congress.gov/product/pdf/download/R/R43168/R43168.pdf/","6","07/31/2013"
190,"R44572","5/14/2019","U.S. Airborne Electronic Attack Programs: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44572/R44572.pdf/","8","07/26/2016"
191,"R44116","5/10/2019","Department of Defense Contractor and Troop Levels in Afghanistan and Iraq: 2007-2018","https://crsreports.congress.gov/product/pdf/download/R/R44116/R44116.pdf/","13","07/22/2015"
192,"IF11206","5/8/2019","FY2020 Budget Request for the Military Health System","https://crsreports.congress.gov/product/pdf/download/IF/IF11206/IF11206.pdf/","2","05/08/2019"
193,"IF11203","5/7/2019","Proposed Civilian Personnel System Supporting 'Space Force'","https://crsreports.congress.gov/product/pdf/download/IF/IF11203/IF11203.pdf/","2","05/07/2019"
194,"RL33446","5/6/2019","Military Pay: Key Questions and Answers","https://crsreports.congress.gov/product/pdf/download/RL/RL33446/RL33446.pdf/","25","06/01/2006"
195,"IF11197","5/6/2019","U.S. Arms Sales and Human Rights: Legislative Basis and Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/IF/IF11197/IF11197.pdf/","4","05/03/2019"
196,"IF11200","5/3/2019","Defense Primer: Gold Star Designation","https://crsreports.congress.gov/product/pdf/download/IF/IF11200/IF11200.pdf/","3","05/03/2019"
197,"R42704","5/2/2019","The Purple Heart: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R42704/R42704.pdf/","19","09/07/2012"
198,"R45705","4/25/2019","Base Closure and Realignment (BRAC): Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45705/R45705.pdf/","2","04/26/2019"
199,"IF10428","4/24/2019","Intelligence Planning, Programming, Budgeting, and Evaluation (IPPBE) Process ","https://crsreports.congress.gov/product/pdf/download/IF/IF10428/IF10428.pdf/","7","06/28/2016"
200,"IF11183","4/18/2019","Nuclear Cooperation: Part 810 Authorizations","https://crsreports.congress.gov/product/pdf/download/IF/IF11183/IF11183.pdf/","3","04/18/2019"
201,"IF11172","4/8/2019","'Space Force' and Related DOD Proposals: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF11172/IF11172.pdf/","2","04/08/2019"
202,"R45283","3/25/2019","The Servicemembers Civil Relief Act (SCRA): Section-by-Section Summary","https://crsreports.congress.gov/product/pdf/download/R/R45283/R45283.pdf/","5","08/07/2018"
203,"IF11139","3/19/2019","Evaluating DOD Strategy: Key Findings of the National Defense Strategy Commission","https://crsreports.congress.gov/product/pdf/download/IF/IF11139/IF11139.pdf/","2","03/19/2019"
204,"IF10538","3/19/2019","U.S. Intelligence Community (IC): Appointment Dates and Appointment Legal Provisions for Selected IC Leadership","https://crsreports.congress.gov/product/pdf/download/IF/IF10538/IF10538.pdf/","6","12/08/2016"
205,"R45521","2/22/2019","Department of Defense Use of Other Transaction Authority: Background, Analysis, and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45521/R45521.pdf/","5","02/22/2019"
206,"IF11109","2/19/2019","Defense Health Primer: Contraceptive Services","https://crsreports.congress.gov/product/pdf/download/IF/IF11109/IF11109.pdf/","2","02/19/2019"
207,"IF11102","2/11/2019","Military Medical Malpractice and the Feres Doctrine","https://crsreports.congress.gov/product/pdf/download/IF/IF11102/IF11102.pdf/","4","02/12/2019"
208,"R44389","2/1/2019","General and Flag Officers in the U.S. Armed Forces: Background and Considerations for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44389/R44389.pdf/","7","02/19/2016"
209,"IF11050","12/17/2018","New U.S. Policy Regarding Nuclear Exports to China ","https://crsreports.congress.gov/product/pdf/download/IF/IF11050/IF11050.pdf/","2","12/17/2018"
210,"RL31663","12/10/2018","Military Benefits for Former Spouses: Legislation and Policy Issues","https://crsreports.congress.gov/product/pdf/download/RL/RL31663/RL31663.pdf/","19","12/09/2004"
211,"R45421","12/4/2018","Congressional Oversight of Intelligence: Background and Selected Options for Further Reform","https://crsreports.congress.gov/product/pdf/download/R/R45421/R45421.pdf/","2","12/04/2018"
212,"TE10030","11/29/2018","Icebreaker Acquisition and the Need for a National Maritime Strategy","https://crsreports.congress.gov/product/pdf/download/TE/TE10030/TE10030.pdf/","2","11/29/2018"
213,"R45392","11/20/2018","U.S. Ground Forces Robotics and Autonomous Systems (RAS) and Artificial Intelligence (AI): Considerations for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45392/R45392.pdf/","4","11/02/2018"
214,"IF10675","10/24/2018","Army Security Force Assistance Brigades (SFABs)","https://crsreports.congress.gov/product/pdf/download/IF/IF10675/IF10675.pdf/","3","06/15/2017"
215,"IF11006","10/18/2018","The National Counterintelligence and Security Center (NCSC): An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF11006/IF11006.pdf/","2","10/18/2018"
216,"R45343","10/16/2018","FY2019 National Defense Authorization Act: Selected Military Personnel Issues","https://crsreports.congress.gov/product/pdf/download/R/R45343/R45343.pdf/","2","10/16/2018"
217,"TE10029","10/11/2018","Building the Fleets of the Future: Coast Guard and NOAA Fleet Recapitalization","https://crsreports.congress.gov/product/pdf/download/TE/TE10029/TE10029.pdf/","2","10/11/2018"
218,"IF11002","10/10/2018","Defense Health Primer: TRICARE Extended Care Health Option (ECHO)","https://crsreports.congress.gov/product/pdf/download/IF/IF11002/IF11002.pdf/","2","10/11/2018"
219,"IF10999","10/9/2018","Defense's 30-Year Aircraft Plan Reveals New Details","https://crsreports.congress.gov/product/pdf/download/IF/IF10999/IF10999.pdf/","2","10/10/2018"
220,"RL30802","10/4/2018","Reserve Component Personnel Issues: Questions and Answers","https://crsreports.congress.gov/product/pdf/download/RL/RL30802/RL30802.pdf/","22","01/10/2005"
221,"IF10951","8/17/2018","Substance Abuse Prevention, Treatment, and Research Efforts in the Military","https://crsreports.congress.gov/product/pdf/download/IF/IF10951/IF10951.pdf/","3","08/17/2018"
222,"RL34327","8/9/2018","Proliferation Security Initiative (PSI)","https://crsreports.congress.gov/product/pdf/download/RL/RL34327/RL34327.pdf/","17","01/18/2008"
223,"IF10946","8/8/2018","The European Deterrence Initiative: A Budgetary Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF10946/IF10946.pdf/","2","08/08/2018"
224,"IF10942","8/7/2018","FY2019 National Defense Authorization Act: An Overview of H.R. 5515	","https://crsreports.congress.gov/product/pdf/download/IF/IF10942/IF10942.pdf/","2","08/07/2018"
225,"R42755","8/1/2018","The Post-9/11 GI Bill: A Primer ","https://crsreports.congress.gov/product/pdf/download/R/R42755/R42755.pdf/","17","09/25/2012"
226,"IF10936","7/27/2018","FY2019 Defense Appropriations Bill: An Overview of S. 3159, as Reported","https://crsreports.congress.gov/product/pdf/download/IF/IF10936/IF10936.pdf/","2","07/27/2018"
227,"R43333","7/20/2018","Iran Nuclear Agreement and U.S. Exit","https://crsreports.congress.gov/product/pdf/download/R/R43333/R43333.pdf/","94","12/12/2013"
228,"IF10928","7/19/2018","FY2019 Defense Appropriations Bill: An Overview of House-passed H.R. 6157","https://crsreports.congress.gov/product/pdf/download/IF/IF10928/IF10928.pdf/","2","07/19/2018"
229,"LSB10171","7/18/2018","Military Commission Judges Do Not Have Unilateral Power to Punish for Contempt","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10171/LSB10171.pdf/","2","07/18/2018"
230,"IF10709","7/11/2018","National Counterterrorism Center (NCTC)","https://crsreports.congress.gov/product/pdf/download/IF/IF10709/IF10709.pdf/","4","08/18/2017"
231,"R45252","7/9/2018","United States Special Operations Command Acquisition Authorities","https://crsreports.congress.gov/product/pdf/download/R/R45252/R45252.pdf/","5","07/09/2018"
232,"LSB10165","7/5/2018","Questions Remain, Litigation Continues, over Military Service by Transgender Individuals","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10165/LSB10165.pdf/","2","07/05/2018"
233,"R44010","7/2/2018","Defense Acquisitions: How and Where DOD Spends Its Contracting Dollars","https://crsreports.congress.gov/product/pdf/download/R/R44010/R44010.pdf/","12","04/29/2015"
234,"IF10921","6/29/2018","FY2019 National Defense Authorization Act: An Overview of Senate Action","https://crsreports.congress.gov/product/pdf/download/IF/IF10921/IF10921.pdf/","2","06/29/2018"
235,"IF10527","6/27/2018","U.S. Intelligence Community Elements: Establishment Provisions","https://crsreports.congress.gov/product/pdf/download/IF/IF10527/IF10527.pdf/","5","12/06/2016"
236,"R44711","6/25/2018","Department of Defense Research, Development, Test, and Evaluation (RDT&E): Appropriations Structure ","https://crsreports.congress.gov/product/pdf/download/R/R44711/R44711.pdf/","4","12/14/2016"
237,"R45217","6/6/2018","FY2018 Military Construction Authorizations and Appropriations","https://crsreports.congress.gov/product/pdf/download/R/R45217/R45217.pdf/","6","06/06/2018"
238,"R45013","6/4/2018","FY2018 National Defense Authorization Act","https://crsreports.congress.gov/product/pdf/download/R/R45013/R45013.pdf/","10","11/08/2017"
239,"IF10891","5/22/2018","FY2019 National Defense Authorization Act: An Overview of H.R. 5515, as Reported","https://crsreports.congress.gov/product/pdf/download/IF/IF10891/IF10891.pdf/","2","05/22/2018"
240,"IF10887","5/9/2018","The FY2019 Defense Budget Request: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF10887/IF10887.pdf/","2","05/09/2018"
241,"R44942","5/9/2018","U.S. Decision to Cease Implementing the Iran Nuclear Agreement","https://crsreports.congress.gov/product/pdf/download/R/R44942/R44942.pdf/","21","09/07/2017"
242,"IF10868","4/5/2018","FY2018 Defense Appropriations Act: An Overview","https://crsreports.congress.gov/product/pdf/download/IF/IF10868/IF10868.pdf/","2","04/05/2018"
243,"R45142","3/5/2018","Information Warfare: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R45142/R45142.pdf/","5","03/26/2018"
244,"RS22483","2/26/2018","Health Care for Dependents and Survivors of Veterans","https://crsreports.congress.gov/product/pdf/download/RS/RS22483/RS22483.pdf/","17","08/01/2006"
245,"R45110","2/21/2018","Defense Science and Technology Funding","https://crsreports.congress.gov/product/pdf/download/R/R45110/R45110.pdf/","6","02/20/2018"
246,"LSB10072","2/6/2018","Criminal Prohibitions on Disclosing the Identities of Covert Intelligence Assets","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10072/LSB10072.pdf/","2","02/06/2018"
247,"R45091","2/1/2018","U.S. Security Assistance and Security Cooperation Programs: Overview of Funding Trends","https://crsreports.congress.gov/product/pdf/download/R/R45091/R45091.pdf/","3","02/06/2018"
248,"R45068","1/19/2018","Acquisition Reform in the FY2016-FY2018 National Defense Authorization Acts (NDAAs)","https://crsreports.congress.gov/product/pdf/download/R/R45068/R45068.pdf/","8","01/04/2018"
249,"R44923","12/14/2017","FY2018 National Defense Authorization Act: Selected Military Personnel Issues","https://crsreports.congress.gov/product/pdf/download/R/R44923/R44923.pdf/","10","08/22/2017"
250,"R43125","12/14/2017","Mixed-Oxide Fuel Fabrication Plant and Plutonium Disposition: Management and Policy Issues","https://crsreports.congress.gov/product/pdf/download/R/R43125/R43125.pdf/","15","06/27/2013"
251,"IF10790","12/13/2017","What Next for the Third Offset Strategy?","https://crsreports.congress.gov/product/pdf/download/IF/IF10790/IF10790.pdf/","3","12/13/2017"
252,"IF10365","11/17/2017","End-Year DOD Contract Spending","https://crsreports.congress.gov/product/pdf/download/IF/IF10365/IF10365.pdf/","6","02/25/2016"
253,"LSB10026","11/9/2017","Can Congress Limit the President's Power to Launch Nuclear Weapons?","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10026/LSB10026.pdf/","2","11/09/2017"
254,"R44996","10/30/2017","Taiwan: Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44996/R44996.pdf/","5","10/30/2017"
255,"R44995","10/27/2017","Niger: Frequently Asked Questions About the October 2017 Attack on U.S. Soldiers","https://crsreports.congress.gov/product/pdf/download/R/R44995/R44995.pdf/","4","10/27/2017"
256,"R42785","10/6/2017","GI Bills Enacted Prior to 2008 and Related Veterans' Educational Assistance Programs: A Primer","https://crsreports.congress.gov/product/pdf/download/R/R42785/R42785.pdf/","12","10/24/2012"
257,"R44950","9/14/2017","Redeploying U.S. Nuclear Weapons to South Korea: Background and Implications in Brief","https://crsreports.congress.gov/product/pdf/download/R/R44950/R44950.pdf/","3","09/15/2017"
258,"R44454","6/28/2017","Defense: FY2017 Budget Request, Authorization, and Appropriations","https://crsreports.congress.gov/product/pdf/download/R/R44454/R44454.pdf/","7","04/12/2016"
259,"R44853","5/19/2017","Additional Troops for Afghanistan? Considerations for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44853/R44853.pdf/","3","05/19/2017"
260,"R44508","5/18/2017","Fact Sheet: FY2017 National Defense Authorization Act (NDAA) DOD Reform Proposals","https://crsreports.congress.gov/product/pdf/download/R/R44508/R44508.pdf/","9","05/26/2016"
261,"RS21900","5/18/2017","The Protection of Classified Information: The Legal Framework","https://crsreports.congress.gov/product/pdf/download/RS/RS21900/RS21900.pdf/","17","08/05/2004"
262,"R44828","4/28/2017","The National Security Council: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44828/R44828.pdf/","3","04/28/2017"
263,"R44806","4/3/2017","The Trump Administration's March 2017 Defense Budget Proposals: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R44806/R44806.pdf/","4","04/03/2017"
264,"R44531","3/28/2017","FY2017 Defense Appropriations Fact Sheet: Selected Highlights of H.R. 5293, S. 3000, and H.R. 1301","https://crsreports.congress.gov/product/pdf/download/R/R44531/R44531.pdf/","5","06/17/2016"
265,"IF10618","3/17/2017","Defense Primer: The National Defense Budget Function (050)","https://crsreports.congress.gov/product/pdf/download/IF/IF10618/IF10618.pdf/","2","03/17/2017"
266,"R41404","3/7/2017","Criminal Prohibitions on Leaks and Other Disclosures of Classified Defense Information","https://crsreports.congress.gov/product/pdf/download/R/R41404/R41404.pdf/","32","09/13/2010"
267,"IF10607","2/23/2017","South China Sea Disputes: Background and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/IF/IF10607/IF10607.pdf/","2","02/24/2017"
268,"R44023","1/30/2017","The 2015 National Security Strategy: Authorities, Changes, Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44023/R44023.pdf/","15","05/11/2015"
269,"R44577","1/23/2017","FY2017 National Defense Authorization Act: Selected Military Personnel Issues","https://crsreports.congress.gov/product/pdf/download/R/R44577/R44577.pdf/","9","07/29/2016"
